2023-03-09 10:34:09.788433,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:10.733568,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:11.503055,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:12.334360,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:13.160802,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:14.047800,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:14.983350,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:15.774681,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:16.553580,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:17.477145,1,334783,39808,263288871,630032,2,46728971
2023-03-09 10:34:18.430468,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:19.258631,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:20.241151,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:21.052453,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:21.862748,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:22.689085,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:23.487873,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:24.329715,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:25.156158,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:25.970946,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:26.829867,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:27.703378,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:28.562155,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:29.449394,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:30.279212,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:31.155527,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:32.027043,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:32.888606,1,344861,39808,333200716,630488,2,59183368
2023-03-09 10:34:33.682972,1,338314,39808,578282074,630356,2,46738265
2023-03-09 10:34:34.495144,1,338314,39808,578282074,630356,2,46738265
2023-03-09 10:34:35.390222,1,338314,39808,578282074,630356,2,46738265
2023-03-09 10:34:36.291972,1,338314,39808,578282074,630356,2,46738265
2023-03-09 10:34:37.230654,1,338314,39808,578282074,630356,2,46738265
2023-03-09 10:34:38.042542,1,338314,39808,578282074,630356,2,46738265
2023-03-09 10:34:38.856493,1,338314,39808,578282074,630356,2,46738265
2023-03-09 10:34:39.652412,1,338314,39808,578282074,630356,2,46738265
